1.6851,2.9,1.96
1.449,2.7,2.19
1.012,2.6,2.04
0.98077,3.1,1.38
1.3324,4.9,1.18
1.2964,5.9,0.97
0.90879,5.8,0.72
0.70934,5.7,0.98
0.6846,4.9,1.22
1.0629,4.7,1.59
1.8392,4,1.6
2.3893,4.3,2.23
2.995,4,2.41
3.3752,4,2.6
3.8037,4.4,2.31
3.7358,3.9,2.9
3.9086,4.2,3.11
3.6647,3.9,3.07
3.2794,4.2,3.16
3.1932,4.5,3.58
2.8994,5.8,2.44
2.6338,7.4,1.13
2.1368,7.5,0.91
1.7696,6.7,2.63
1.3378,6,2.82
1.0441,5.2,2.95
1.0509,5.1,3.2
1.2872,5.7,4.05
1.0783,5.2,4.35
1.3713,5.2,3.23
1.5551,5.5,2.3
1.5969,6.1,2.3
1.4687,6.6,2.24
1.2098,7,2.29
1.0051,7,2.24
0.8213,6.5,2.3
1.2824,5.8,2.72
1.3601,5.6,2.73
1.3659,5.4,2.92
1.456,5.4,2.74
1.1638,5.7,2.91
1.0029,5.7,2.9
0.91684,5.6,3.18
1.1628,5.5,3.45
1.2378,5.6,3.52
1.4664,5.3,3.47
1.7711,4.9,3.46
1.6375,5.1,3.57
1.7226,4.9,3.81
1.8394,4.8,3.93
1.7944,4.4,3.84
1.9522,4.2,4.03
2.1314,4,4.59
2.6336,3.8,4.62
3.1668,3.8,4.8
3.438,3.7,5.35
3.2988,3.9,4.72
2.9821,3.8,3.84
2.9365,3.8,4.21
3.1662,4,4.56
3.7779,3.7,5
4.2847,3.5,5.38
4.3375,3.7,5.31
4.6407,3.4,5.35
4.5668,3.4,6.14
4.7988,3.4,6.11
5.3084,3.5,7
5.1681,3.7,7
5.5772,3.9,7.87
5.6651,4.6,6.51
4.9725,5,6.45
4.9891,5.5,5.91
5.0941,5.9,4.44
5.0005,5.9,3.86
5.2142,6,5.4
4.7128,5.8,4.46
4.8718,5.8,3.38
4.0959,5.7,3.71
4.0107,5.6,3.98
4.4018,5.6,4.74
4.0619,4.9,5.41
5.1786,5,6.26
6.2219,4.8,8.01
6.8027,4.6,7.22
7.5616,5.1,7.77
8.1415,5.1,8.33
9.385,5.5,7.55
10.816,6,7.46
11.105,8.1,6.26
10.296,8.8,5.61
8.9865,8.6,6.13
7.6297,8.4,5.96
6.3813,7.9,4.87
5.9646,7.7,4.86
5.43,7.8,5.23
5.3609,7.7,4.92
5.9275,7.5,4.62
6.4867,7.2,4.54
6.5116,6.9,5.19
6.4872,6.8,6.16
6.491,6.4,6.44
6.8265,6.1,6.29
7.1963,6.2,7.01
7.5682,5.8,7.99
7.7226,5.9,9.35
8.2514,5.8,9.46
8.6034,5.7,9.24
8.527,6,11.7
8.9299,6.3,12
8.698,6.9,13.2
8.9218,7.8,8.06
9.8203,7.5,11.62
10.261,7.5,15.02
9.7822,7.2,13.69
9.3253,7.2,14.95
8.1971,7.9,13.54
6.9433,8.6,12.28
6.3979,9.3,12.7
5.9201,9.8,11.35
5.2089,10.4,7.71
4.6294,10.4,7.86
4.0927,10.2,8.21
3.7172,9.4,9.08
3.3727,8.8,8.64
3.7648,8,8.9
3.9426,7.7,9.69
3.7335,7.5,10.12
3.5929,7.4,9.74
3.504,7.3,7.76
3.1184,7.3,7.95
2.7754,7.4,7.08
2.7883,7.1,7.16
2.1393,6.7,7.07
2.098,7.1,6.06
2.2597,7,5.83
2.3628,7,5.18
2.6238,6.6,5.43
2.6802,6.3,5.64
2.792,6.1,5.69
2.7626,6,6.13
2.827,5.7,5.81
3.281,5.4,5.91
3.7141,5.4,6.73
3.8378,5.4,7.35
4.0556,5.4,8.27
4.0454,5.2,8.65
3.5903,5.2,7.88
3.4472,5.3,7.64
3.6101,5.4,7.64
3.8089,5.4,7.77
3.9791,5.5,7.62
4.0991,5.9,7.17
4.0715,6.4,6.22
3.5265,6.7,5.65
3.3137,6.8,5.58
3.0367,7,4.99
2.5149,7.3,3.8
2.3968,7.4,3.75
2.141,7.7,3.21
2.162,7.3,2.86
2.2888,7.3,3
2.3106,7.1,2.87
2.3237,6.9,3.04
2.284,6.8,3.02
2.1304,6.6,2.98
2.0135,6.4,3.68
2.1738,6.1,4.33
2.1656,5.8,4.95
2.1831,5.6,5.71
2.1238,5.8,5.65
1.9398,5.7,5.42
1.9525,5.5,5.28
1.9093,5.6,5
1.8761,5.6,4.95
1.9321,5.5,5.15
1.8558,5.2,4.99
1.7802,5.3,5.03
1.7903,5.1,5.16
1.5702,4.9,5.05
1.4917,4.7,4.97
1.1931,4.6,5.04
1.0421,4.3,4.95
1.1294,4.5,4.96
1.0817,4.5,3.96
1.2259,4.3,4.34
1.4717,4.3,4.29
1.451,4.3,4.55
1.6243,4.1,4.86
2.0746,4,5.32
2.1279,3.8,5.66
2.2638,4,5.96
2.2463,3.9,6.11
2.2308,4.2,5.15
2.5155,4.4,3.87
2.4431,4.6,3.51
2.4184,5.3,2.16
2.0156,5.7,1.65
1.617,5.9,1.72
1.6136,5.8,1.68
1.7494,5.7,1.58
2.1139,5.8,1.17
2.0511,6,1.13
2.1745,6.2,0.9
2.1711,6,0.92
2.3151,5.7,0.88
2.9187,5.5,0.94
2.9339,5.5,1.33
3.1771,5.4,1.76
3.113,5.2,2.33
2.8002,5.1,2.78
3.0936,5,3.22
3.1082,4.9,3.71
3.0558,4.7,4.24
3.2754,4.7,4.6
2.9097,4.8,4.95
