date,USUNRATEE,GNP82
1951-1,3.5,1286.599976
1951-2,3.1,1320.400024
1951-3,3.2,1349.800049
1951-4,3.4,1356
1952-1,3.1,1369.199951
1952-2,3,1365.900024
1952-3,3.2,1378.199951
1952-4,2.8,1406.800049
1953-1,2.7,1431.400024
1953-2,2.6,1444.900024
1953-3,2.7,1438.199951
1953-4,3.7,1426.599976
1954-1,5.3,1406.800049
1954-2,5.8,1401.199951
1954-3,6,1418
1954-4,5.3,1438.800049
1955-1,4.7,1469.599976
1955-2,4.4,1485.699951
1955-3,4.1,1505.5
1955-4,4.2,1518.699951
1956-1,4,1515.699951
1956-2,4.2,1522.599976
1956-3,4.1,1523.699951
1956-4,4.1,1540.599976
1957-1,3.9,1553.300049
1957-2,4.1,1552.400024
1957-3,4.2,1561.5
1957-4,4.9,1537.300049
1958-1,6.3,1506.099976
1958-2,7.4,1514.199951
1958-3,7.3,1550
1958-4,6.4,1586.699951
1959-1,5.8,1606.400024
1959-2,5.1,1637
1959-3,5.3,1629.5
1959-4,5.6,1643.400024
1960-1,5.1,1671.599976
1960-2,5.2,1666.800049
1960-3,5.5,1668.400024
1960-4,6.3,1654.099976
1961-1,6.8,1671.300049
1961-2,7,1692.099976
1961-3,6.8,1716.300049
1961-4,6.2,1754.900024
1962-1,5.6,1777.900024
1962-2,5.5,1796.400024
1962-3,5.6,1813.099976
1962-4,5.5,1810.099976
1963-1,5.8,1834.599976
1963-2,5.7,1860
1963-3,5.5,1892.5
1963-4,5.6,1906.099976
1964-1,5.5,1948.699951
1964-2,5.2,1965.400024
1964-3,5,1985.199951
1964-4,5,1993.699951
1965-1,4.9,2036.900024
1965-2,4.7,2066.399902
1965-3,4.4,2099.300049
1965-4,4.1,2147.600098
1966-1,3.9,2190.100098
1966-2,3.8,2195.800049
1966-3,3.8,2218.300049
1966-4,3.7,2229.199951
1967-1,3.8,2241.800049
1967-2,3.8,2255.199951
1967-3,3.8,2287.699951
1967-4,3.9,2300.600098
1968-1,3.7,2327.300049
1968-2,3.6,2366.899902
1968-3,3.5,2385.300049
1968-4,3.4,2383
1969-1,3.4,2416.5
1969-2,3.4,2419.800049
1969-3,3.6,2433.199951
1969-4,3.6,2423.5
1970-1,4.2,2408.600098
1970-2,4.8,2406.5
1970-3,5.2,2435.800049
1970-4,5.8,2413.800049
1971-1,5.9,2478.600098
1971-2,5.9,2478.399902
1971-3,6,2491.100098
1971-4,5.9,2491
1972-1,5.8,2545.600098
1972-2,5.7,2595.100098
1972-3,5.6,2622.100098
1972-4,5.4,2671.300049
1973-1,4.9,2734
1973-2,4.9,2741
1973-3,4.8,2738.300049
1973-4,4.8,2762.800049
1974-1,5.1,2747.399902
1974-2,5.2,2755.199951
1974-3,5.6,2719.300049
1974-4,6.6,2695.399902
1975-1,8.3,2642.699951
1975-2,8.9,2669.600098
1975-3,8.5,2714.899902
1975-4,8.3,2752.699951
1976-1,7.7,2804.399902
1976-2,7.6,2816.899902
1976-3,7.7,2828.600098
1976-4,7.8,2856.800049
1977-1,7.5,2896
1977-2,7.1,2942.699951
1977-3,6.9,3001.800049
1977-4,6.7,2994.100098
1978-1,6.3,3020.5
1978-2,6,3115.899902
1978-3,6,3142.600098
1978-4,5.9,3181.600098
1979-1,5.9,3181.699951
1979-2,5.7,3178.699951
1979-3,5.9,3207.399902
1979-4,6,3201.300049
1980-1,6.3,3233.399902
1980-2,7.3,3157
1980-3,7.7,3159.100098
1980-4,7.4,3199.199951
1981-1,7.4,3261.100098
1981-2,7.4,3250.199951
1981-3,7.4,3264.600098
1981-4,8.2,3219
1982-1,8.8,3170.399902
1982-2,9.4,3179.899902
1982-3,9.9,3154.5
1982-4,10.7,3159.300049
1983-1,10.4,3186.600098
1983-2,10.1,3258.300049
1983-3,9.4,3306.399902
1983-4,8.5,3365.100098
1984-1,7.9,3451.699951
1984-2,7.4,3498
1984-3,7.4,3520.600098
1984-4,7.3,3535.199951
1985-1,7.2,3577.5
1985-2,7.3,3599.199951
1985-3,7.2,3635.800049
1985-4,7,3662.399902
1986-1,7,3721.100098
1986-2,7.2,3704.600098
1986-3,7,3712.399902
1986-4,6.8,3733.600098
1987-1,6.6,3781.199951
1987-2,6.3,3820.300049
1987-3,6,3858.899902
1987-4,5.8,3920.699951
